job_id,service_category,service_subtype,zip_code,booking_month,job_description,estimate_lo,estimate_hi,original_estimate,final_price,deadline
job_000066,Electrical,Panel Upgrade,33227,2026-03,Install ceiling fan,170,2401,1285,,As soon as possible
job_000067,Painting,Cabinet,35123,2026-03,Exterior house painting,274,1876,1075,,Within 1-2 weeks
job_000068,HVAC,Thermostat,10232,2026-03,AC unit repair and maintenance,187,3603,1895,1783,As soon as possible
job_000069,Plumbing,Leak Repair,93671,2026-01,Replace kitchen sink shutoff valve (you supply valve),105,1260,682,668,Within 1-2 weeks
job_000070,Painting,Exterior,30153,2026-01,Paint interior bedroom walls,364,1958,1161,1182,Within 1-2 weeks
job_000071,Painting,Interior,46973,2026-02,Paint interior bedroom walls,372,2499,1435,1560,Within 1 month
job_000072,Landscaping,Landscaping,17490,2026-01,Landscaping,168,1274,721,688,Within 1 month
job_000073,Painting,Cabinet,93404,2026-02,Exterior house painting,267,2747,1507,1631,I'm flexible
job_000074,Exterior,Exterior,81908,2026-04,Exterior,556,2936,1746,2057,I'm flexible
job_000075,General Contractor,General Contractor,61524,2026-01,General Contractor,1027,8301,4664,5454,As soon as possible
job_000076,HVAC,Thermostat,61929,2026-03,Install new thermostat,230,2367,1298,1356,Within 1 month
job_000077,Chimney,Chimney,61378,2026-04,Chimney,246,1646,946,836,Within 1 month
job_000078,Landscaping,Landscaping,37309,2026-04,Landscaping,209,1420,814,938,Within 1 month
job_000079,Pest Control,General,75994,2026-02,Rodent control and sealing,327,1880,1103,1232,Within 1-2 weeks
job_000080,Exterior,Exterior,30468,2026-01,Exterior,559,3413,1986,,As soon as possible
job_000081,Appliance Repair,Appliance Repair,24059,2026-02,Appliance Repair,246,2262,1254,,Within 1 month
job_000082,Exterior,Exterior,98834,2026-03,Exterior,427,3526,1976,2039,Within 1-2 weeks
job_000083,Cleaning,Carpet Cleaning,95663,2026-01,"Exterior window wash, 2-story, 20 windows",95,1246,670,725,I'm flexible
job_000084,Moving,Moving,76152,2026-01,Moving,180,1791,985,806,Within 1-2 weeks
job_000085,Flooring,Flooring,83766,2026-02,Flooring,158,2370,1264,1116,As soon as possible
job_000086,Cleaning,General Cleaning,21110,2026-01,Window washing service,93,1029,561,496,As soon as possible
job_000087,Electrical,Panel Upgrade,93761,2026-04,Repair faulty electrical panel,165,1520,842,867,Within 1 month
job_000088,Exterior,Exterior,90866,2026-04,Exterior,443,3726,2084,,Within 1-2 weeks
job_000089,Pest Control,Rodents,57916,2026-04,Termite inspection and treatment,244,1866,1055,1080,As soon as possible
job_000090,Landscaping,Landscaping,51814,2026-03,Landscaping,247,1611,929,965,As soon as possible
job_000091,Exterior,Exterior,59888,2026-01,Exterior,438,3713,2075,,Within 1-2 weeks
job_000092,Landscaping,Landscaping,19289,2026-03,Landscaping,162,1652,907,828,As soon as possible
job_000093,Remodeling,Remodeling,74835,2026-02,Remodeling,206,2423,1314,,I'm flexible
job_000094,Handyman,Handyman,46991,2026-03,Handyman,91,410,250,254,Within 1 month
job_000095,Moving,Moving,28033,2026-02,Moving,226,1944,1085,884,Within 1 month
job_000096,Landscaping,Landscaping,36654,2026-02,Landscaping,249,1645,947,1037,I'm flexible
job_000097,Handyman,Handyman,36460,2026-01,Handyman,69,616,342,,Within 1 month
job_000098,Electrical,Wiring,25769,2026-03,Repair faulty electrical panel,146,1807,976,,Within 1-2 weeks
job_000099,Auto,Auto,93404,2026-01,Auto,193,1816,1004,,Within 1 month
job_000100,Exterior,Exterior,91140,2026-03,Exterior,461,3137,1799,1746,As soon as possible
job_000101,Pest Control,Bed Bugs,55927,2026-04,"Bed bug heat treatment, 2BR apartment",260,1709,984,1129,Within 1 month
job_000102,Exterior,Exterior,92300,2026-01,Exterior,605,3704,2154,,Within 1-2 weeks
job_000103,Auto,Auto,45609,2026-01,Auto,207,1751,979,1089,As soon as possible
job_000104,Flooring,Flooring,97587,2026-04,Flooring,156,1911,1033,848,I'm flexible
job_000105,Landscaping,Landscaping,86080,2026-01,Landscaping,150,1760,955,930,Within 1-2 weeks
job_000106,Roofing,Roofing,82288,2026-04,Roofing,176,1885,1030,1157,Within 1 month
job_000107,Plumbing,Drain Cleaning,99642,2026-02,Replace kitchen sink shutoff valve (you supply valve),80,1282,681,598,Within 1 month
job_000108,Exterior,Exterior,85447,2026-04,Exterior,520,2332,1426,1178,As soon as possible
job_000109,General Contractor,General Contractor,35713,2026-04,General Contractor,930,8184,4557,5227,As soon as possible
job_000110,Moving,Moving,76868,2026-01,Moving,249,1956,1102,1131,Within 1-2 weeks
job_000111,Cleaning,General Cleaning,62991,2026-03,Window washing service,79,789,434,481,As soon as possible
job_000112,Landscaping,Landscaping,56273,2026-02,Landscaping,243,1393,818,918,I'm flexible
job_000113,Landscaping,Landscaping,80782,2026-04,Landscaping,159,1667,913,,As soon as possible
job_000114,Landscaping,Landscaping,60484,2026-01,Landscaping,238,1496,867,927,As soon as possible
job_000115,Handyman,Handyman,90504,2026-03,Handyman,75,511,293,277,I'm flexible
job_000116,Flooring,Flooring,35414,2026-01,Flooring,215,1919,1067,1156,As soon as possible
job_000117,Remodeling,Remodeling,81279,2026-03,Remodeling,180,2167,1173,1187,As soon as possible
job_000118,Auto,Auto,68170,2026-03,Auto,200,2087,1143,960,Within 1-2 weeks
job_000119,Pest Control,Rodents,40495,2026-03,Rodent control and sealing,242,2123,1182,1247,I'm flexible
job_000120,Exterior,Exterior,52452,2026-04,Exterior,578,2458,1518,1816,Within 1-2 weeks
job_000121,Painting,Interior,62365,2026-04,Exterior house painting,288,2008,1148,1148,Within 1-2 weeks
job_000122,Flooring,Flooring,69377,2026-01,Flooring,244,2458,1351,1466,As soon as possible
job_000123,Handyman,Handyman,52487,2026-04,Handyman,84,444,264,264,Within 1 month
job_000124,Roofing,Roofing,49228,2026-01,Roofing,214,1679,946,856,Within 1-2 weeks
job_000125,Flooring,Flooring,72577,2026-01,Flooring,223,1551,887,740,Within 1-2 weeks
job_000126,Exterior,Exterior,19210,2026-04,Exterior,494,3331,1912,1610,I'm flexible
job_000127,Handyman,Handyman,88083,2026-02,Handyman,66,591,328,275,As soon as possible
job_000128,Appliance Repair,Appliance Repair,98968,2026-03,Appliance Repair,244,1967,1105,,As soon as possible
job_000129,Appliance Repair,Appliance Repair,32435,2026-02,Appliance Repair,171,1663,917,,As soon as possible
job_000130,Remodeling,Remodeling,72752,2026-03,Remodeling,218,1833,1025,927,I'm flexible
job_000131,Electrical,Outlet Installation,17158,2026-03,Install ceiling fan,174,2327,1250,1450,Within 1 month
job_000132,Plumbing,Leak Repair,34565,2026-02,Install new water heater,124,1353,738,742,As soon as possible
job_000133,Landscaping,Landscaping,19071,2026-01,Landscaping,208,1701,954,795,Within 1 month
job_000134,Painting,Exterior,10660,2026-04,Exterior house painting,287,2253,1270,1357,Within 1-2 weeks
job_000135,HVAC,Thermostat,64807,2026-02,Install new thermostat,216,2354,1285,1148,I'm flexible
job_000136,General Contractor,General Contractor,33784,2026-03,General Contractor,1153,7580,4366,,I'm flexible
job_000137,Painting,Interior,28410,2026-04,Exterior house painting,350,2463,1406,1258,As soon as possible
job_000138,Appliance Repair,Appliance Repair,68050,2026-01,Appliance Repair,171,1880,1025,1196,As soon as possible
job_000139,Handyman,Handyman,20454,2026-02,Handyman,90,553,321,,As soon as possible
job_000140,Painting,Interior,23654,2026-04,Trim painting,297,3124,1710,,I'm flexible
job_000141,Handyman,Handyman,25769,2026-04,Handyman,61,536,298,258,Within 1-2 weeks
job_000142,General Contractor,General Contractor,62749,2026-03,General Contractor,1125,8983,5054,,I'm flexible
job_000143,Landscaping,Landscaping,67211,2026-01,Landscaping,177,1519,848,734,As soon as possible
job_000144,Painting,Cabinet,14948,2026-04,Trim painting,274,2003,1138,1221,As soon as possible
job_000145,Roofing,Roofing,43458,2026-02,Roofing,235,2140,1187,1029,As soon as possible
job_000146,Pest Control,Termites,40370,2026-01,Rodent control and sealing,370,2118,1244,1350,As soon as possible
job_000147,Cleaning,Carpet Cleaning,84320,2026-02,Carpet cleaning entire house,117,925,521,,I'm flexible
job_000148,Pool,Pool,74809,2026-01,Pool,204,1926,1065,,I'm flexible
job_000149,Roofing,Roofing,76152,2026-04,Roofing,250,1759,1004,1153,Within 1-2 weeks
job_000150,HVAC,Ductwork,72577,2026-03,Clean ductwork,234,3560,1897,,As soon as possible
job_000151,Exterior,Exterior,81095,2026-02,Exterior,445,2992,1718,1756,As soon as possible
job_000152,Pool,Pool,78412,2026-01,Pool,221,2132,1176,1052,Within 1-2 weeks
job_000153,Appliance Repair,Appliance Repair,16941,2026-01,Appliance Repair,160,1849,1004,,As soon as possible
job_000154,Handyman,Handyman,53282,2026-04,Handyman,56,424,240,284,Within 1 month
job_000155,Moving,Moving,54484,2026-01,Moving,155,2369,1262,,Within 1-2 weeks
job_000156,Plumbing,Drain Cleaning,63372,2026-04,Replace kitchen sink shutoff valve (you supply valve),86,1866,976,,As soon as possible
job_000157,Handyman,Handyman,79507,2026-04,Handyman,68,572,320,269,Within 1 month
job_000158,Pool,Pool,58344,2026-04,Pool,191,2065,1128,,As soon as possible
job_000159,Roofing,Roofing,84150,2026-03,Roofing,216,1529,872,808,Within 1-2 weeks
job_000160,Appliance Repair,Appliance Repair,95468,2026-03,Appliance Repair,211,1752,981,,As soon as possible
job_000161,Remodeling,Remodeling,76849,2026-02,Remodeling,150,1922,1036,1016,Within 1 month
job_000162,Auto,Auto,95906,2026-03,Auto,245,2359,1302,1263,Within 1-2 weeks
job_000163,Flooring,Flooring,81915,2026-04,Flooring,242,2151,1196,1330,I'm flexible
job_000164,Pool,Pool,83688,2026-04,Pool,250,1987,1118,,As soon as possible
job_000165,Pest Control,General,90112,2026-03,Termite inspection and treatment,334,2482,1408,1647,As soon as possible
job_000166,Roofing,Roofing,47929,2026-01,Roofing,173,2376,1274,1324,I'm flexible
job_000167,Painting,Cabinet,13256,2026-02,Trim painting,280,2646,1463,1508,Within 1-2 weeks
job_000168,Landscaping,Landscaping,76373,2026-02,Landscaping,205,1860,1032,1099,I'm flexible
job_000169,HVAC,Thermostat,30129,2026-02,Install new thermostat,234,2770,1502,1247,Within 1 month
job_000170,Exterior,Exterior,66862,2026-03,Exterior,551,3363,1957,,Within 1 month
job_000171,General Contractor,General Contractor,95695,2026-04,General Contractor,922,8656,4789,5292,As soon as possible
job_000172,Plumbing,Leak Repair,23271,2026-03,Fix leaking bathroom faucet,81,1210,645,768,Within 1 month
job_000173,Appliance Repair,Appliance Repair,33227,2026-01,Appliance Repair,158,2062,1110,894,Within 1-2 weeks
job_000174,Appliance Repair,Appliance Repair,60154,2026-01,Appliance Repair,156,1686,921,1019,Within 1 month
job_000175,HVAC,Thermostat,22003,2026-01,Clean ductwork,172,2742,1457,1403,I'm flexible
job_000176,Exterior,Exterior,34193,2026-03,Exterior,490,2514,1502,,Within 1 month
job_000177,Flooring,Flooring,72707,2026-02,Flooring,175,2052,1113,,Within 1 month
job_000178,Handyman,Handyman,97783,2026-01,Handyman,73,610,341,362,I'm flexible
job_000179,Exterior,Exterior,10704,2026-04,Exterior,377,3416,1896,2062,As soon as possible
job_000180,Chimney,Chimney,88325,2026-01,Chimney,212,2411,1311,1103,As soon as possible
job_000181,Cleaning,General Cleaning,77999,2026-02,"Exterior window wash, 2-story, 20 windows",76,1046,561,664,I'm flexible
job_000182,Roofing,Roofing,12815,2026-01,Roofing,170,2458,1314,,Within 1-2 weeks
job_000183,Chimney,Chimney,93671,2026-04,Chimney,246,1584,915,,As soon as possible
job_000184,Exterior,Exterior,44146,2026-02,Exterior,379,2525,1452,,Within 1-2 weeks
job_000185,Remodeling,Remodeling,91091,2026-02,Remodeling,205,1937,1071,,Within 1 month
job_000186,Exterior,Exterior,45873,2026-01,Exterior,567,2461,1514,1443,As soon as possible
job_000187,Auto,Auto,86926,2026-01,Auto,203,1931,1067,,Within 1 month
job_000188,Remodeling,Remodeling,15492,2026-03,Remodeling,192,2420,1306,1328,As soon as possible
job_000189,Landscaping,Landscaping,28410,2026-03,Landscaping,179,1664,921,750,As soon as possible
job_000190,Painting,Cabinet,25760,2026-01,Trim painting,288,2267,1277,1424,Within 1 month
job_000191,Moving,Moving,88785,2026-04,Moving,168,2018,1093,1195,As soon as possible
job_000192,Plumbing,Fixture Installation,78632,2026-02,Fix leaking bathroom faucet,118,1231,674,569,As soon as possible
job_000193,Flooring,Flooring,47240,2026-02,Flooring,190,1866,1028,889,As soon as possible
job_000194,Moving,Moving,23654,2026-03,Moving,167,1658,912,926,Within 1-2 weeks
job_000195,Electrical,Panel Upgrade,70188,2026-03,Install ceiling fan,123,1634,878,731,As soon as possible
job_000196,General Contractor,General Contractor,54681,2026-02,General Contractor,1192,7707,4449,3663,As soon as possible
job_000197,HVAC,Thermostat,39798,2026-01,AC unit repair and maintenance,171,2372,1271,,I'm flexible
job_000198,Roofing,Roofing,74809,2026-01,Roofing,211,1573,892,,As soon as possible
job_000199,Electrical,Lighting,24020,2026-03,Install new outlets in kitchen,166,2191,1178,1093,Within 1 month
job_000200,Flooring,Flooring,84662,2026-01,Flooring,208,1624,916,,As soon as possible
job_000201,Moving,Moving,43985,2026-03,Moving,177,2331,1254,1187,Within 1-2 weeks
job_000202,Pest Control,Rodents,63536,2026-03,General pest control service,361,2336,1348,1432,Within 1-2 weeks
job_000203,HVAC,Thermostat,72455,2026-02,Clean ductwork,204,3330,1767,1840,Within 1-2 weeks
job_000204,Landscaping,Landscaping,33928,2026-01,Landscaping,158,1410,784,,Within 1-2 weeks
job_000205,Cleaning,Window Washing,85337,2026-02,Deep clean kitchen and bathrooms,79,824,451,503,I'm flexible
job_000206,Pest Control,Bed Bugs,54436,2026-02,General pest control service,370,1973,1171,,As soon as possible
job_000207,Remodeling,Remodeling,68170,2026-03,Remodeling,190,1606,898,940,Within 1-2 weeks
job_000208,Auto,Auto,47121,2026-02,Auto,163,2440,1301,1540,I'm flexible
job_000209,Pest Control,General,34138,2026-02,Termite inspection and treatment,347,1833,1090,1151,Within 1-2 weeks
job_000210,Chimney,Chimney,29350,2026-03,Chimney,198,1788,993,796,Within 1-2 weeks
job_000211,Landscaping,Landscaping,16394,2026-03,Landscaping,205,1240,722,603,As soon as possible
job_000212,Plumbing,Drain Cleaning,28589,2026-02,Install new water heater,83,1427,755,871,Within 1 month
job_000213,HVAC,AC Repair,83766,2026-04,Clean ductwork,179,2904,1541,1443,Within 1 month
job_000214,Roofing,Roofing,70188,2026-02,Roofing,189,2384,1286,,As soon as possible
job_000215,Moving,Moving,68981,2026-01,Moving,183,2111,1147,1346,As soon as possible
job_000216,Moving,Moving,98251,2026-04,Moving,168,1678,923,784,Within 1-2 weeks
job_000217,Moving,Moving,16075,2026-02,Moving,185,1903,1044,914,Within 1 month
job_000218,Moving,Moving,24263,2026-01,Moving,198,2422,1310,1499,I'm flexible
job_000219,Electrical,Outlet Installation,61870,2026-03,Repair faulty electrical panel,144,1516,830,,Within 1 month
job_000220,Cleaning,Window Washing,81908,2026-04,"Exterior window wash, 2-story, 20 windows",119,828,473,,Within 1-2 weeks
job_000221,Handyman,Handyman,28720,2026-04,Handyman,71,404,237,198,Within 1-2 weeks
job_000222,Exterior,Exterior,30129,2026-01,Exterior,491,2400,1445,,I'm flexible
job_000223,Pool,Pool,42419,2026-01,Pool,171,1762,966,944,Within 1-2 weeks
job_000224,Pest Control,Bed Bugs,40998,2026-03,"Bed bug heat treatment, 2BR apartment",280,2316,1298,,Within 1 month
job_000225,Appliance Repair,Appliance Repair,37062,2026-04,Appliance Repair,219,2003,1111,,Within 1-2 weeks
job_000226,Pool,Pool,91091,2026-04,Pool,226,1666,946,,Within 1 month
job_000227,Painting,Cabinet,33784,2026-02,Exterior house painting,298,2291,1294,1498,Within 1-2 weeks
job_000228,Flooring,Flooring,72252,2026-01,Flooring,192,2178,1185,,Within 1-2 weeks
job_000229,Landscaping,Landscaping,22673,2026-03,Landscaping,192,1409,800,,As soon as possible
job_000230,Auto,Auto,98554,2026-01,Auto,167,1804,985,907,As soon as possible
job_000231,Electrical,Wiring,89048,2026-02,Repair faulty electrical panel,145,2222,1183,1327,Within 1-2 weeks
job_000232,Cleaning,General Cleaning,18526,2026-04,Deep clean kitchen and bathrooms,92,927,509,441,Within 1-2 weeks
job_000233,Electrical,Lighting,20625,2026-03,Replace light switches,178,1713,945,1046,As soon as possible
job_000234,General Contractor,General Contractor,36171,2026-03,General Contractor,978,12336,6657,7246,I'm flexible
job_000235,Landscaping,Landscaping,27101,2026-02,Landscaping,179,1468,823,986,Within 1 month
job_000236,Handyman,Handyman,22087,2026-01,Handyman,57,535,296,,I'm flexible
job_000237,Cleaning,Window Washing,72986,2026-03,Carpet cleaning entire house,114,800,457,374,Within 1-2 weeks
job_000238,Flooring,Flooring,19767,2026-03,Flooring,208,1968,1088,1106,Within 1 month
job_000239,Handyman,Handyman,26642,2026-03,Handyman,89,570,329,375,As soon as possible
job_000240,Pest Control,Bed Bugs,64466,2026-01,Rodent control and sealing,299,2118,1208,1061,Within 1 month
job_000241,Pool,Pool,61451,2026-04,Pool,249,1580,914,,I'm flexible
job_000242,Auto,Auto,76868,2026-01,Auto,200,2083,1141,1218,As soon as possible
job_000243,Auto,Auto,11511,2026-04,Auto,189,1946,1067,990,Within 1 month
job_000244,Chimney,Chimney,77827,2026-03,Chimney,233,2231,1232,1354,Within 1-2 weeks
job_000245,Electrical,Panel Upgrade,37148,2026-03,Install new outlets in kitchen,128,2207,1167,1211,As soon as possible
job_000246,Flooring,Flooring,30492,2026-01,Flooring,223,1922,1072,,Within 1-2 weeks
job_000247,Landscaping,Landscaping,93367,2026-01,Landscaping,167,1423,795,758,Within 1-2 weeks
job_000248,Painting,Interior,21138,2026-02,Paint interior bedroom walls,288,2330,1309,1300,I'm flexible
job_000249,General Contractor,General Contractor,36858,2026-03,General Contractor,834,9754,5294,,Within 1 month
job_000250,Roofing,Roofing,61713,2026-04,Roofing,181,2428,1304,1499,Within 1-2 weeks
job_000251,Exterior,Exterior,84036,2026-04,Exterior,381,2827,1604,1733,As soon as possible
job_000252,General Contractor,General Contractor,81731,2026-03,General Contractor,1206,10254,5730,5287,I'm flexible
job_000253,Pool,Pool,66794,2026-01,Pool,209,2461,1335,,Within 1 month
job_000254,Remodeling,Remodeling,92991,2026-04,Remodeling,162,2144,1153,,Within 1 month
job_000255,HVAC,Furnace Maintenance,75835,2026-02,Install new thermostat,182,2355,1268,1040,Within 1 month
job_000256,Painting,Cabinet,12900,2026-04,Paint interior bedroom walls,234,2006,1120,1343,I'm flexible
job_000257,Landscaping,Landscaping,15831,2026-01,Landscaping,164,1833,998,850,Within 1 month
job_000258,Pest Control,Termites,85054,2026-04,"Bed bug heat treatment, 2BR apartment",353,2071,1212,993,Within 1 month
job_000259,Cleaning,General Cleaning,62960,2026-04,Deep clean kitchen and bathrooms,111,1024,567,495,As soon as possible
job_000260,Roofing,Roofing,23793,2026-02,Roofing,212,1875,1043,,As soon as possible
job_000261,Landscaping,Landscaping,69255,2026-02,Landscaping,192,1450,821,868,Within 1-2 weeks
job_000262,Exterior,Exterior,16084,2026-03,Exterior,553,2646,1599,1551,As soon as possible
job_000263,Flooring,Flooring,23793,2026-02,Flooring,221,2423,1322,1224,I'm flexible
job_000264,Handyman,Handyman,55817,2026-01,Handyman,65,612,338,284,Within 1-2 weeks
job_000265,Remodeling,Remodeling,51528,2026-02,Remodeling,199,2021,1110,,Within 1 month
job_000266,Auto,Auto,57916,2026-04,Auto,203,1666,934,1099,I'm flexible
job_000267,Pest Control,General,47524,2026-04,Termite inspection and treatment,367,1866,1116,1074,I'm flexible
job_000268,Moving,Moving,37719,2026-03,Moving,151,2310,1230,,I'm flexible
job_000269,Auto,Auto,72398,2026-01,Auto,190,1516,853,722,As soon as possible
job_000270,Exterior,Exterior,10550,2026-04,Exterior,616,2823,1719,,Within 1-2 weeks
job_000271,Cleaning,General Cleaning,78956,2026-01,Carpet cleaning entire house,115,989,552,,As soon as possible
job_000272,General Contractor,General Contractor,16999,2026-04,General Contractor,1120,12287,6703,,As soon as possible
job_000273,Exterior,Exterior,72455,2026-04,Exterior,558,3450,2004,,I'm flexible
job_000274,Handyman,Handyman,84036,2026-04,Handyman,82,443,262,,As soon as possible
job_000275,Painting,Cabinet,67549,2026-02,Cabinet refinishing,356,3020,1688,,Within 1 month
job_000276,Roofing,Roofing,19110,2026-01,Roofing,232,1897,1064,1193,Within 1-2 weeks
job_000277,Roofing,Roofing,19272,2026-01,Roofing,178,1524,851,1004,As soon as possible
job_000278,Plumbing,Fixture Installation,47653,2026-04,Install new water heater,121,1232,676,,I'm flexible
job_000279,Auto,Auto,17502,2026-01,Auto,161,2365,1263,1050,Within 1 month
job_000280,Exterior,Exterior,18931,2026-01,Exterior,574,3515,2044,2406,As soon as possible
job_000281,Auto,Auto,74937,2026-02,Auto,209,2338,1273,,As soon as possible
job_000282,Handyman,Handyman,87673,2026-02,Handyman,60,455,257,207,Within 1-2 weeks
job_000283,Painting,Cabinet,83580,2026-04,Cabinet refinishing,298,2898,1598,,I'm flexible
job_000284,Flooring,Flooring,49799,2026-04,Flooring,220,2346,1283,1114,As soon as possible
job_000285,Pest Control,Bed Bugs,57705,2026-01,Termite inspection and treatment,348,2175,1261,1284,I'm flexible
job_000286,Pool,Pool,22522,2026-02,Pool,177,2305,1241,1423,Within 1 month
