job_id,service_category,service_subtype,zip_code,booking_month,job_description,estimate_lo,estimate_hi,original_estimate,final_price,deadline,complexity,scope_size,urgency,cat_Auto,cat_Chimney,cat_Cleaning,cat_Electrical,cat_Exterior,cat_Flooring,cat_General Contractor,cat_HVAC,cat_Handyman,cat_Landscaping,cat_Moving,cat_Painting,cat_Pest Control,cat_Plumbing,cat_Pool,cat_Remodeling,cat_Roofing,deadline_I'm flexible,deadline_Within 1 month,deadline_Within 1-2 weeks,booking_month_numeric,interval_width,interval_width_ratio,cat_is_prod,price_is_high,interval_is_wide,price_ratio
job_000019,Flooring,Flooring,74678,2026-01,Flooring,244,2093,1168,1357.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1849,7.577868821402177,0,0,0,0.860722180647957
job_000020,HVAC,AC Repair,79331,2026-03,AC unit repair and maintenance,152,2598,1375,1531.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,2446,16.09210515728878,1,0,0,0.898105812607377
job_000022,Electrical,Outlet Installation,31253,2026-04,Repair faulty electrical panel,119,2460,1289,1141.0,Within 1-2 weeks,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,2341,19.672268742249845,1,0,0,1.1297107790274226
job_000023,Moving,Moving,94355,2026-02,Moving,165,1801,983,971.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2,1636,9.915151455059688,0,0,0,1.0123583923662633
job_000024,Remodeling,Remodeling,77985,2026-03,Remodeling,205,1629,917,772.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,1424,6.946341429530042,0,0,0,1.1878238326582593
job_000025,General Contractor,General Contractor,94392,2026-01,General Contractor,900,9922,5411,5778.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,9022,10.024444433306172,0,0,1,0.9364832120220693
job_000027,Chimney,Chimney,42419,2026-02,Chimney,151,2414,1282,1450.0,Within 1 month,medium,medium,routine,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2263,14.986754867637385,0,0,0,0.8841379304247324
job_000029,Auto,Auto,69428,2026-04,Auto,246,1863,1054,857.0,I'm flexible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1617,6.573170704987111,0,0,0,1.2298716438391228
job_000032,Appliance Repair,Appliance Repair,45296,2026-03,Appliance Repair,227,2067,1147,1183.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,1840,8.105726836538649,0,0,0,0.9695688918262307
job_000033,Chimney,Chimney,68264,2026-02,Chimney,167,1530,848,727.0,Within 1-2 weeks,medium,medium,routine,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,1363,8.161676597834273,0,0,0,1.1664374124258083
job_000036,HVAC,Furnace Maintenance,44146,2026-03,Install new thermostat,173,2704,1438,1381.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3,2531,14.630057718901401,1,0,0,1.0412744380584544
job_000037,Electrical,Wiring,23172,2026-03,Repair faulty electrical panel,184,1669,926,761.0,Within 1 month,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1485,8.070652130050803,1,0,0,1.216819972119816
job_000038,Electrical,Panel Upgrade,49983,2026-04,Repair faulty electrical panel,117,1598,857,813.0,As soon as possible,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1481,12.658119549930602,1,0,0,1.054120539908831
job_000039,Flooring,Flooring,18781,2026-03,Flooring,184,1637,910,762.0,Within 1 month,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1453,7.896739087517722,0,0,0,1.1942257202175515
job_000041,Auto,Auto,97219,2026-01,Auto,171,1529,850,842.0,Within 1-2 weeks,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1358,7.941520421394618,0,0,0,1.0095011864495236
job_000044,Remodeling,Remodeling,66913,2026-03,Remodeling,220,1564,892,934.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,3,1344,6.109090881322314,0,0,0,0.9550321188918286
job_000047,Moving,Moving,63390,2026-04,Moving,204,1899,1051,978.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,1695,8.308823488682238,0,0,0,1.07464212569055
job_000048,Pest Control,General,94392,2026-04,Termite inspection and treatment,298,1534,916,946.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,4,1236,4.1476509927931176,0,0,0,0.9682875254035016
job_000049,Roofing,Roofing,20771,2026-03,Roofing,238,1589,913,776.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,1351,5.676470564384577,0,0,0,1.1765463902364093
job_000050,Flooring,Flooring,75507,2026-03,Flooring,151,2457,1304,1291.0,Within 1 month,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,2306,15.271523077672033,0,0,0,1.0100697126180713
job_000051,Chimney,Chimney,23070,2026-03,Chimney,243,1729,986,851.0,I'm flexible,medium,medium,routine,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,1486,6.11522631228302,0,0,0,1.158636896405832
job_000052,Auto,Auto,23916,2026-01,Auto,186,1659,922,814.0,As soon as possible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1473,7.9193547961325015,0,0,0,1.1326781312866363
job_000054,Handyman,Handyman,34193,2026-03,Handyman,69,443,256,205.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3,374,5.4202897765175395,1,0,0,1.248780481713266
job_000055,HVAC,Furnace Maintenance,66302,2026-03,AC unit repair and maintenance,158,2413,1285,1095.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3,2255,14.272151808404102,1,0,0,1.1735159806634556
job_000056,Remodeling,Remodeling,95369,2026-01,Remodeling,172,1902,1037,1096.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,1730,10.058139476406167,0,0,0,0.9461678823483869
job_000058,Landscaping,Landscaping,47653,2026-01,Landscaping,174,1390,782,690.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1216,6.988505706962611,1,0,0,1.1333333316908212
job_000059,Electrical,Wiring,91508,2026-02,Install new outlets in kitchen,152,1787,969,822.0,Within 1-2 weeks,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,1635,10.756578876601456,1,0,0,1.178832115354219
job_000062,Exterior,Exterior,83695,2026-03,Exterior,499,3512,2005,2081.0,Within 1 month,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3013,6.038076140204256,1,0,0,0.9634790961251903
job_000063,General Contractor,General Contractor,18526,2026-01,General Contractor,1009,12172,6590,7180.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,11163,11.063429126795413,0,0,1,0.9178272979223081
job_000065,Moving,Moving,68170,2026-02,Moving,227,1760,993,1037.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2,1533,6.753303935007472,0,0,0,0.9575699122877821
job_000068,HVAC,Thermostat,10232,2026-03,AC unit repair and maintenance,187,3603,1895,1783.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3,3416,18.267379581457863,1,0,0,1.062815478932801
job_000069,Plumbing,Leak Repair,93671,2026-01,Replace kitchen sink shutoff valve (you supply valve),105,1260,682,668.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1,1155,10.999999895238096,1,0,0,1.020958082303955
job_000070,Painting,Exterior,30153,2026-01,Paint interior bedroom walls,364,1958,1161,1182.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1,1594,4.379120867090327,0,0,0,0.9822335017070781
job_000071,Painting,Interior,46973,2026-02,Paint interior bedroom walls,372,2499,1435,1560.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,2127,5.717741920113597,0,0,0,0.9198717942821334
job_000072,Landscaping,Landscaping,17490,2026-01,Landscaping,168,1274,721,688.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,1106,6.583333294146826,1,0,0,1.0479651147558646
job_000073,Painting,Cabinet,93404,2026-02,Exterior house painting,267,2747,1507,1631.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2,2480,9.288389478320639,0,0,0,0.9239730221189619
job_000074,Exterior,Exterior,81908,2026-04,Exterior,556,2936,1746,2057.0,I'm flexible,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,2380,4.280575531869468,1,0,0,0.8488089446529855
job_000075,General Contractor,General Contractor,61524,2026-01,General Contractor,1027,8301,4664,5454.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7274,7.082765329033334,0,0,1,0.8551521817280615
job_000076,HVAC,Thermostat,61929,2026-03,Install new thermostat,230,2367,1298,1356.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,2137,9.291304307429112,1,0,0,0.9572271379371481
job_000077,Chimney,Chimney,61378,2026-04,Chimney,246,1646,946,836.0,Within 1 month,medium,medium,routine,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,1400,5.691056887434728,0,0,0,1.1315789460148578
job_000078,Landscaping,Landscaping,37309,2026-04,Landscaping,209,1420,814,938.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,4,1211,5.794258345482017,1,0,0,0.8678038370279276
job_000079,Pest Control,General,75994,2026-02,Rodent control and sealing,327,1880,1103,1232.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2,1553,4.749235459482461,0,0,0,0.8952922070655095
job_000082,Exterior,Exterior,98834,2026-03,Exterior,427,3526,1976,2039.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,3099,7.257611224221051,1,0,0,0.969102500750808
job_000083,Cleaning,Carpet Cleaning,95663,2026-01,"Exterior window wash, 2-story, 20 windows",95,1246,670,725.0,I'm flexible,medium,medium,routine,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1151,12.115789346149587,1,0,0,0.9241379297598098
job_000084,Moving,Moving,76152,2026-01,Moving,180,1791,985,806.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,1611,8.949999950277778,0,0,0,1.2220843657294238
job_000085,Flooring,Flooring,83766,2026-02,Flooring,158,2370,1264,1116.0,As soon as possible,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2212,13.999999911392406,0,0,0,1.1326164864403077
job_000086,Cleaning,General Cleaning,21110,2026-01,Window washing service,93,1029,561,496.0,As soon as possible,medium,medium,routine,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,936,10.064516020811656,1,0,0,1.1310483848164348
job_000087,Electrical,Panel Upgrade,93761,2026-04,Repair faulty electrical panel,165,1520,842,867.0,Within 1 month,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,1355,8.212121162350781,1,0,0,0.9711649354427163
job_000089,Pest Control,Rodents,57916,2026-04,Termite inspection and treatment,244,1866,1055,1080.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4,1622,6.647540956362537,0,0,0,0.9768518509473593
job_000090,Landscaping,Landscaping,51814,2026-03,Landscaping,247,1611,929,965.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,1364,5.522267184120376,1,0,0,0.9626942995205241
job_000092,Landscaping,Landscaping,19289,2026-03,Landscaping,162,1652,907,828.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,1490,9.19753080742265,1,0,0,1.095410626696364
job_000094,Handyman,Handyman,46991,2026-03,Handyman,91,410,250,254.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3,319,3.5054944669725883,1,0,0,0.9842519646289293
job_000095,Moving,Moving,28033,2026-02,Moving,226,1944,1085,884.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2,1718,7.601769877868275,0,0,0,1.2273755642224258
job_000096,Landscaping,Landscaping,36654,2026-02,Landscaping,249,1645,947,1037.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,1396,5.606425680295479,1,0,0,0.9132111852331617
job_000100,Exterior,Exterior,91140,2026-03,Exterior,461,3137,1799,1746.0,As soon as possible,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,2676,5.804772221681622,1,0,0,1.0303550967752835
job_000101,Pest Control,Bed Bugs,55927,2026-04,"Bed bug heat treatment, 2BR apartment",260,1709,984,1129.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,4,1449,5.573076901642012,0,0,0,0.8715677583068486
job_000103,Auto,Auto,45609,2026-01,Auto,207,1751,979,1089.0,As soon as possible,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1544,7.45893716203412,0,0,0,0.8989898981643801
job_000104,Flooring,Flooring,97587,2026-04,Flooring,156,1911,1033,848.0,I'm flexible,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,1755,11.249999927884616,0,0,0,1.2181603759219808
job_000105,Landscaping,Landscaping,86080,2026-01,Landscaping,150,1760,955,930.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,1610,10.733333261777778,1,0,0,1.0268817193259336
job_000106,Roofing,Roofing,82288,2026-04,Roofing,176,1885,1030,1157.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4,1709,9.710227217555527,0,0,0,0.890233361374042
job_000107,Plumbing,Drain Cleaning,99642,2026-02,Replace kitchen sink shutoff valve (you supply valve),80,1282,681,598.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,1202,15.024999812187502,1,0,0,1.1387959847177325
job_000108,Exterior,Exterior,85447,2026-04,Exterior,520,2332,1426,1178.0,As soon as possible,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1812,3.484615377914201,1,0,0,1.2105263147618621
job_000109,General Contractor,General Contractor,35713,2026-04,General Contractor,930,8184,4557,5227.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4,7254,7.7999999916129035,0,0,1,0.871819399106214
job_000110,Moving,Moving,76868,2026-01,Moving,249,1956,1102,1131.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,1707,6.855421659215174,0,0,0,0.974358973497472
job_000111,Cleaning,General Cleaning,62991,2026-03,Window washing service,79,789,434,481.0,As soon as possible,medium,medium,routine,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,710,8.98734165838808,1,0,0,0.902286900411046
job_000112,Landscaping,Landscaping,56273,2026-02,Landscaping,243,1393,818,918.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,1150,4.7325102685904925,1,0,0,0.8910675371556999
job_000114,Landscaping,Landscaping,60484,2026-01,Landscaping,238,1496,867,927.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1258,5.285714263505402,1,0,0,0.9352750798972221
job_000115,Handyman,Handyman,90504,2026-03,Handyman,75,511,293,277.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3,436,5.813333255822223,1,0,0,1.0577617290333512
job_000116,Flooring,Flooring,35414,2026-01,Flooring,215,1919,1067,1156.0,As soon as possible,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1704,7.925581358485668,0,0,0,0.9230103798243854
job_000117,Remodeling,Remodeling,81279,2026-03,Remodeling,180,2167,1173,1187.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,1987,11.03888882756173,0,0,0,0.9882055594033651
job_000118,Auto,Auto,68170,2026-03,Auto,200,2087,1143,960.0,Within 1-2 weeks,medium,medium,routine,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,1887,9.434999952825,0,0,0,1.1906249987597657
job_000119,Pest Control,Rodents,40495,2026-03,Rodent control and sealing,242,2123,1182,1247.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3,1881,7.772727240608565,0,0,0,0.9478748989992983
job_000120,Exterior,Exterior,52452,2026-04,Exterior,578,2458,1518,1816.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,1880,3.252595150082015,1,0,0,0.8359030832401414
job_000121,Painting,Interior,62365,2026-04,Exterior house painting,288,2008,1148,1148.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,4,1720,5.97222220148534,0,0,0,0.9999999991289198
job_000122,Flooring,Flooring,69377,2026-01,Flooring,244,2458,1351,1466.0,As soon as possible,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2214,9.073770454615694,0,0,0,0.9215552517588299
job_000123,Handyman,Handyman,52487,2026-04,Handyman,84,444,264,264.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,4,360,4.285714234693878,1,0,0,0.9999999962121212
job_000124,Roofing,Roofing,49228,2026-01,Roofing,214,1679,946,856.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1465,6.845794360533671,0,0,0,1.1051401856248362
job_000125,Flooring,Flooring,72577,2026-01,Flooring,223,1551,887,740.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1328,5.955156923967906,0,0,0,1.198648647028853
job_000126,Exterior,Exterior,19210,2026-04,Exterior,494,3331,1912,1610.0,I'm flexible,medium,medium,routine,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,2837,5.7429149681317515,1,0,0,1.1875776390139268
job_000127,Handyman,Handyman,88083,2026-02,Handyman,66,591,328,275.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,525,7.954545334022041,1,0,0,1.1927272683900827
job_000130,Remodeling,Remodeling,72752,2026-03,Remodeling,218,1833,1025,927.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,3,1615,7.408256846751115,0,0,0,1.1057173666604991
job_000131,Electrical,Outlet Installation,17158,2026-03,Install ceiling fan,174,2327,1250,1450.0,Within 1 month,medium,medium,routine,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,2153,12.373563147278373,1,0,0,0.862068964922711
job_000132,Plumbing,Leak Repair,34565,2026-02,Install new water heater,124,1353,738,742.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,1229,9.911290242650885,1,0,0,0.9946091630800415
job_000133,Landscaping,Landscaping,19071,2026-01,Landscaping,208,1701,954,795.0,Within 1 month,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,1493,7.177884580875555,1,0,0,1.199999998490566
job_000134,Painting,Exterior,10660,2026-04,Exterior house painting,287,2253,1270,1357.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,4,1966,6.850174192159672,0,0,0,0.9358879875196109
job_000135,HVAC,Thermostat,64807,2026-02,Install new thermostat,216,2354,1285,1148.0,I'm flexible,medium,medium,routine,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2,2138,9.898148102323388,1,0,0,1.1193379781190436
job_000137,Painting,Interior,28410,2026-04,Exterior house painting,350,2463,1406,1258.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4,2113,6.037142839893877,0,0,0,1.1176470579350977
job_000138,Appliance Repair,Appliance Repair,68050,2026-01,Appliance Repair,171,1880,1025,1196.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1709,9.994151988338293,0,0,0,0.8570234106546626
job_000141,Handyman,Handyman,25769,2026-04,Handyman,61,536,298,258.0,Within 1-2 weeks,medium,medium,routine,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,4,475,7.786885118247786,1,0,0,1.1550387552130281
job_000143,Landscaping,Landscaping,67211,2026-01,Landscaping,177,1519,848,734.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1342,7.581920861119091,1,0,0,1.1553133499246413
job_000144,Painting,Cabinet,14948,2026-04,Trim painting,274,2003,1138,1221.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4,1729,6.310218955072194,0,0,0,0.9320229312596044
job_000145,Roofing,Roofing,43458,2026-02,Roofing,235,2140,1187,1029.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,1905,8.106382944228157,0,0,0,1.1535471320179327
job_000146,Pest Control,Termites,40370,2026-01,Rodent control and sealing,370,2118,1244,1350.0,As soon as possible,medium,medium,routine,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1748,4.72432431155588,0,0,0,0.9214814807989026
